instance_id,agent_count,interaction_level,spf_ordering_time_ms,spf_pp_time_ms,spf_total_time_ms,cdf_h_ordering_time_ms,cdf_h_pp_time_ms,cdf_h_total_time_ms,cdf_l_ordering_time_ms,cdf_l_pp_time_ms,cdf_l_total_time_ms,spf_cd_ordering_time_ms,spf_cd_pp_time_ms,spf_cd_total_time_ms,cdf_h_ordering_minus_spf_ordering_ms,spf_cd_ordering_minus_spf_ordering_ms,catalogue,metric_group,mean_spf_ordering_ms,median_spf_ordering_ms,mean_cdf_h_ordering_ms,median_cdf_h_ordering_ms,mean_cdf_l_ordering_ms,median_cdf_l_ordering_ms,mean_spf_cd_ordering_ms,median_spf_cd_ordering_ms,mean_spf_pp_ms,mean_cdf_h_pp_ms,mean_cdf_l_pp_ms,mean_spf_cd_pp_ms,mean_spf_total_ms,mean_cdf_h_total_ms,mean_cdf_l_total_ms,mean_spf_cd_total_ms,mean_spf_ordering_s,mean_cdf_h_ordering_s,mean_cdf_l_ordering_s,mean_spf_cd_ordering_s,mean_spf_pp_s,mean_cdf_h_pp_s,mean_cdf_l_pp_s,mean_spf_cd_pp_s,mean_ordering_delta_cdf_h_minus_spf_ms,mean_ordering_delta_spf_cd_minus_spf_ms,note,median_spf_pp_ms,median_spf_total_ms,mean_spf_ordering_fraction,median_cdf_h_pp_ms,median_cdf_h_total_ms,mean_cdf_h_ordering_fraction,median_cdf_l_pp_ms,median_cdf_l_total_ms,mean_cdf_l_ordering_fraction,median_spf_cd_pp_ms,median_spf_cd_total_ms,mean_spf_cd_ordering_fraction
AR0204SR_n05_low_000,5,low,7303.966399980709,7330.851800041273,14634.818200021982,7423.808600055054,7323.4197000274435,14747.228300082497,7375.451999949291,7330.337999970652,14705.789999919944,7325.196100049652,7420.994299929589,14746.190399979241,119.84220007434487,21.229700068943202,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n05_low_001,5,low,12692.118200007826,12630.344000062905,25322.46220007073,12747.089800075628,12808.964800089598,25556.054600165226,12819.130699965172,12754.4215999078,25573.552299872972,12545.136700035073,13137.685500085354,25682.822200120427,54.97160006780177,-146.98149997275323,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n05_low_002,5,low,1960.3155000368133,2054.3322999728844,4014.6478000096977,1984.5635000383481,2004.3073000852019,3988.87080012355,1975.905100000091,1992.7014000713825,3968.6065000714734,1967.8711999440566,1997.2617999883369,3965.1329999323934,24.24800000153482,7.555699907243252,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n05_medium_000,5,medium,3634.6948000136763,3714.740200084634,7349.43500009831,3597.1931000240147,3606.639500008896,7203.832600032911,3596.0126999998465,3587.5935999210924,7183.606299920939,3601.5444000950083,3580.173800000921,7181.718200095929,-37.501699989661574,-33.15039991866797,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n05_medium_001,5,medium,9219.4610000588,9158.427099930122,18377.888099988922,8976.737199933268,9149.345799931325,18126.082999864593,9041.321799973957,9079.709599958733,18121.03139993269,8960.765700088814,9201.654399977997,18162.42010006681,-242.72380012553185,-258.6952999699861,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n05_medium_002,5,medium,27041.847799904644,27391.17910002824,54433.026899932884,26287.95030002948,27350.296199903823,53638.2464999333,26207.671800046228,26978.900699992664,53186.57250003889,26241.315299994312,27020.929399994202,53262.244699988514,-753.8974998751655,-800.5324999103323,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n05_high_000,5,high,3248.905000044033,3520.144199952483,6769.049199996516,3285.9025000361726,3385.672500007786,6671.575000043958,3267.4433999927714,3407.923399936408,6675.366799929179,3284.8527999594808,3376.9509999547154,6661.803799914196,36.99749999213964,35.94779991544783,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n05_high_001,5,high,11876.041100011207,12164.219700032845,24040.260800044052,11773.13280000817,11922.415799926966,23695.548599935137,11835.50040004775,11808.763000066392,23644.26340011414,11753.819499979727,11782.101499964483,23535.92099994421,-102.90830000303686,-122.2216000314802,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n05_high_002,5,high,2642.243399983272,2841.5720999473706,5483.8154999306425,2646.9808999681845,2734.4272000482306,5381.408100016415,2643.006700091064,2662.349099991843,5305.355800082907,2638.2667999714613,2742.283600033261,5380.550400004722,4.737499984912574,-3.9766000118106604,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n10_low_000,10,low,24172.101699979976,24575.602099997923,48747.7037999779,24298.998000100255,24744.62360003963,49043.621600139886,24235.567299998365,24883.067599963397,49118.63489996176,24449.38930007629,25067.038199980743,49516.427500057034,126.8963001202792,277.28760009631515,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n10_low_001,10,low,29473.06520002894,29881.31299999077,59354.37820001971,29579.982400056906,30160.49640008714,59740.47880014405,29669.64720003307,30668.601999990642,60338.24920002371,29837.856800062582,30188.900600071065,60026.75740013365,106.91720002796501,364.79160003364086,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n10_low_002,10,low,3844.215999939479,3856.2395999906585,7700.455599930137,3767.6121999975294,3863.7630000011995,7631.375199998729,3803.238800028339,3846.121700014919,7649.360500043258,3791.658000089228,3834.0026000514627,7625.660600140691,-76.60379994194955,-52.55799985025078,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n10_medium_000,10,medium,55406.5178000601,55697.16580002569,111103.68360008579,54955.809099948965,56156.66889993008,111112.47799987905,55124.09810000099,56342.27500006091,111466.3731000619,55437.41879996378,56709.78449995164,112147.20329991542,-450.70870011113584,30.900999903678894,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n10_medium_001,10,medium,29037.24069998134,29187.930800020695,58225.171500002034,29398.456100025214,29937.953699962236,59336.40979998745,29505.785599933006,29703.82699999027,59209.612599923275,29072.406299994327,29969.812399940565,59042.21869993489,361.215400043875,35.16560001298785,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n10_medium_002,10,medium,5852.437200024724,5960.358800017275,11812.796000041999,5893.8048999989405,5954.518900020048,11848.323800018989,5899.157200008631,5991.4946999633685,11890.651899972,5925.062800059095,5959.735900047235,11884.79870010633,41.36769997421652,72.62560003437102,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n10_high_000,10,high,17351.69479995966,17700.644799973816,35052.339599933475,17629.272500053048,24097.39430004265,41726.6668000957,17458.36920000147,17817.15899996925,35275.52819997072,17643.75879999716,18048.909799894318,35692.668599891476,277.57770009338856,292.0640000374988,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n10_high_001,10,high,35232.65709995758,36003.21990007069,71235.87700002827,35719.64599995408,57748.53320000693,93468.17919996101,36091.79989993572,36550.92169996351,72642.72159989923,35689.40080003813,36600.72800004855,72290.12880008668,486.9888999965042,456.7437000805512,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR0204SR_n10_high_002,10,high,31247.58570000995,31806.198099977337,63053.783799987286,31617.916199960746,33663.08430000208,65281.00049996283,32057.85940005444,31823.28899996355,63881.14840001799,31484.079899964854,31938.102399930358,63422.18229989521,370.33049995079637,236.49419995490462,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
